action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,15698897,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '20.70', 'le': '0.41', 'lle': '5.30', 'sei': '5.59'}",CHEMBL3612641,,CHEMBL3612641,6.30,0,http://www.openphacts.org/units/Nanomolar,2498954,=,1,1,=,,IC50,nM,,500.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,500.0
,,15698898,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3c2ncn3C)c1,,,CHEMBL3611990,J Med Chem,2015,,CHEMBL3612643,,CHEMBL3612643,,0,http://www.openphacts.org/units/Nanomolar,2498956,>,1,1,>,,IC50,nM,,25000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,25000.0
,,15698899,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2nc(F)nc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '17.05', 'le': '0.34', 'lle': '4.35', 'sei': '4.88'}",CHEMBL3612642,,CHEMBL3612642,5.50,0,http://www.openphacts.org/units/Nanomolar,2498955,=,1,1,=,,IC50,nM,,3200.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,3200.0
,,15698900,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2nc(N)nc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '15.96', 'le': '0.32', 'lle': '4.51', 'sei': '3.68'}",CHEMBL3612644,,CHEMBL3612644,5.10,0,http://www.openphacts.org/units/Nanomolar,2498957,=,1,1,=,,IC50,nM,,8000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,8000.0
,,15698901,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2nc(Cl)nc3[nH]cnc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '14.16', 'le': '0.30', 'lle': '3.14', 'sei': '4.26'}",CHEMBL3612645,,CHEMBL3612645,4.80,0,http://www.openphacts.org/units/Nanomolar,2498958,=,1,1,=,,IC50,nM,,16000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,16000.0
,,15698902,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]ncc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '23.99', 'le': '0.47', 'lle': '6.30', 'sei': '6.48'}",CHEMBL3612646,,CHEMBL3612646,7.30,0,http://www.openphacts.org/units/Nanomolar,2498959,=,1,1,=,,IC50,nM,,50.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,50.0
,,15698903,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3[nH]ccc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '23.40', 'le': '0.46', 'lle': '5.49', 'sei': '7.11'}",CHEMBL3612647,,CHEMBL3612647,7.10,0,http://www.openphacts.org/units/Nanomolar,2498960,=,1,1,=,,IC50,nM,,80.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,80.0
,,15698904,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3c2ccn3C)c1,,,CHEMBL3611990,J Med Chem,2015,,CHEMBL3612648,,CHEMBL3612648,,0,http://www.openphacts.org/units/Nanomolar,2498961,>,1,1,>,,IC50,nM,,25000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,25000.0
,,15698905,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ccnc3[nH]ccc23)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '16.86', 'le': '0.33', 'lle': '2.89', 'sei': '5.87'}",CHEMBL3612649,,CHEMBL3612649,5.10,0,http://www.openphacts.org/units/Nanomolar,2498962,=,1,1,=,,IC50,nM,,8000.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,8000.0
,,15698906,[],CHEMBL3615799,Displacement of 5-({[2-({[3-({4-[(5-hydroxy-2-methylphenyl)amino]-2-pyrimidinyl}amino)phenyl]carbonyl}amino)-ethyl]amino}carbonyl)-2-(6-hydroxy-3-oxo-3H-xanthen-9-yl)benzoic acid from His6-MBP-TEV-full length human TNNI3K expressed in Baculovirus expression system after 60 mins by fluorescence polarization assay,B,,,BAO_0000190,BAO_0000019,assay format,CNS(=O)(=O)c1cccc(Nc2ncnc3c2CC(=O)N3)c1,,,CHEMBL3611990,J Med Chem,2015,"{'bei': '20.03', 'le': '0.40', 'lle': '5.78', 'sei': '5.66'}",CHEMBL3612650,,CHEMBL3612650,6.40,0,http://www.openphacts.org/units/Nanomolar,2498963,=,1,1,=,,IC50,nM,,400.0,CHEMBL5260,Homo sapiens,Serine/threonine-protein kinase TNNI3K,9606,,,IC50,nM,UO_0000065,,400.0
